"Tabela 5457 - Área plantada ou destinada à colheita, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras temporárias e permanentes"
"Variável - Área plantada ou destinada à colheita (Hectares)"
"Município";"Ano x Produto das lavouras temporárias e permanentes"
"Município";"2024"
"Município";"Total";"Café (em grão) Total";"Cana-de-açúcar";"Milho (em grão)";"Soja (em grão)"
"São Gabriel da Palha (ES)";"9666";"8381";"20";"48";"-"
"São José do Calçado (ES)";"1686";"1331";"-";"140";"-"
"São Mateus (ES)";"26757";"12800";"1429";"100";"-"
"São Roque do Canaã (ES)";"4342";"3550";"300";"17";"-"
"Serra (ES)";"1502";"585";"-";"-";"-"
"Sooretama (ES)";"11943";"10000";"20";"20";"-"
"Vargem Alta (ES)";"6617";"5450";"-";"80";"-"
"Venda Nova do Imigrante (ES)";"4089";"3000";"8";"60";"-"
"Viana (ES)";"1637";"265";"90";"4";"-"
"Vila Pavão (ES)";"4655";"4100";"14";"12";"-"
"Vila Valério (ES)";"17972";"15000";"-";"120";"-"
"Vila Velha (ES)";"385";"-";"100";"11";"-"
"Vitória (ES)";"...";"...";"...";"...";"..."
"Angra dos Reis (RJ)";"124";"-";"11";"-";"-"
"Aperibé (RJ)";"35";"-";"-";"13";"-"
"Araruama (RJ)";"5337";"-";"2840";"-";"-"
"Areal (RJ)";"33";"-";"-";"-";"-"
"Armação dos Búzios (RJ)";"8";"-";"-";"-";"-"
"Barra do Piraí (RJ)";"46";"5";"26";"6";"-"
"Barra Mansa (RJ)";"46";"2";"-";"24";"-"
"Belford Roxo (RJ)";"...";"...";"...";"...";"..."
"Bom Jardim (RJ)";"1900";"1140";"-";"94";"-"
"Bom Jesus do Itabapoana (RJ)";"947";"772";"-";"50";"-"
"Cabo Frio (RJ)";"1791";"-";"1736";"-";"-"
"Cachoeiras de Macacu (RJ)";"2043";"-";"-";"-";"-"
"Cambuci (RJ)";"347";"-";"-";"-";"-"
"Carapebus (RJ)";"67";"-";"13";"16";"-"
"Comendador Levy Gasparian (RJ)";"11";"-";"-";"-";"-"
"Campos dos Goytacazes (RJ)";"31765";"-";"30000";"50";"440"
"Cantagalo (RJ)";"69";"-";"-";"10";"-"
"Cardoso Moreira (RJ)";"69";"5";"60";"-";"-"
"Carmo (RJ)";"30";"-";"-";"-";"-"
"Casimiro de Abreu (RJ)";"675";"-";"10";"-";"-"
"Conceição de Macabu (RJ)";"168";"5";"18";"-";"-"
"Cordeiro (RJ)";"126";"-";"-";"50";"-"
"Duas Barras (RJ)";"521";"305";"-";"2";"-"
"Duque de Caxias (RJ)";"531";"-";"13";"-";"-"
"Engenheiro Paulo de Frontin (RJ)";"23";"-";"3";"-";"-"
"Guapimirim (RJ)";"522";"-";"-";"-";"-"
"Iguaba Grande (RJ)";"10";"-";"-";"-";"-"
"Itaboraí (RJ)";"290";"-";"-";"-";"-"
"Itaguaí (RJ)";"570";"-";"60";"-";"-"
"Italva (RJ)";"579";"-";"360";"30";"-"
"Itaocara (RJ)";"99";"-";"-";"-";"-"
"Itaperuna (RJ)";"78";"15";"-";"-";"-"
"Itatiaia (RJ)";"...";"...";"...";"...";"..."
"Japeri (RJ)";"305";"-";"-";"-";"-"
"Laje do Muriaé (RJ)";"6";"-";"-";"-";"-"
"Macaé (RJ)";"1124";"-";"-";"435";"293"
"Macuco (RJ)";"17";"-";"-";"-";"-"
"Magé (RJ)";"583";"-";"-";"-";"-"
"Mangaratiba (RJ)";"1665";"-";"6";"-";"-"
"Maricá (RJ)";"86";"-";"-";"-";"-"
"Mendes (RJ)";"15";"-";"-";"-";"-"
"Mesquita (RJ)";"...";"...";"...";"...";"..."
"Miguel Pereira (RJ)";"27";"-";"-";"-";"-"
"Miracema (RJ)";"65";"-";"-";"-";"-"
"Natividade (RJ)";"74";"31";"-";"8";"-"
"Niterói (RJ)";"18";"-";"4";"-";"-"
"Nova Friburgo (RJ)";"451";"-";"-";"-";"-"
"Nova Iguaçu (RJ)";"131";"-";"-";"-";"-"
"Paracambi (RJ)";"86";"-";"-";"-";"-"
"Paraíba do Sul (RJ)";"104";"-";"-";"-";"-"
"Paraty (RJ)";"283";"-";"30";"-";"-"
"Paty do Alferes (RJ)";"293";"-";"-";"10";"-"
"Petrópolis (RJ)";"89";"16";"-";"-";"-"
"Pinheiral (RJ)";"109";"-";"-";"-";"-"
"Piraí (RJ)";"342";"-";"-";"-";"-"
"Porciúncula (RJ)";"4365";"3900";"-";"120";"-"
"Porto Real (RJ)";"48";"-";"-";"-";"-"
"Quatis (RJ)";"24";"-";"-";"-";"-"
"Queimados (RJ)";"19";"-";"9";"-";"-"
"Quissamã (RJ)";"791";"-";"283";"10";"15"
"Resende (RJ)";"3";"-";"3";"-";"-"
"Rio Bonito (RJ)";"1384";"-";"-";"-";"-"
"Rio Claro (RJ)";"269";"2";"-";"35";"-"
"Rio das Flores (RJ)";"18";"-";"2";"-";"-"
"Rio das Ostras (RJ)";"19";"-";"-";"1";"-"
"Rio de Janeiro (RJ)";"1780";"-";"12";"-";"-"
"Santa Maria Madalena (RJ)";"169";"-";"5";"11";"-"
"Santo Antônio de Pádua (RJ)";"100";"-";"-";"50";"-"
"São Francisco de Itabapoana (RJ)";"27333";"-";"18000";"-";"-"
"São Fidélis (RJ)";"114";"-";"56";"-";"-"
"São Gonçalo (RJ)";"193";"-";"46";"-";"-"
"São João da Barra (RJ)";"551";"-";"24";"-";"-"
"São José de Ubá (RJ)";"237";"4";"-";"95";"-"
"São José do Vale do Rio Preto (RJ)";"849";"280";"-";"-";"-"
"São Pedro da Aldeia (RJ)";"870";"-";"834";"-";"-"
"São Sebastião do Alto (RJ)";"161";"-";"-";"-";"-"
"Sapucaia (RJ)";"230";"-";"10";"-";"-"
"Saquarema (RJ)";"376";"-";"-";"-";"-"
"Seropédica (RJ)";"983";"-";"92";"-";"-"
"Silva Jardim (RJ)";"1730";"-";"102";"-";"-"
"Sumidouro (RJ)";"1573";"-";"-";"-";"-"
"Tanguá (RJ)";"1502";"-";"-";"-";"-"
"Teresópolis (RJ)";"488";"-";"-";"-";"-"
"Trajano de Moraes (RJ)";"791";"24";"-";"10";"-"
"Três Rios (RJ)";"30";"11";"8";"-";"-"
"Valença (RJ)";"141";"8";"35";"-";"-"
"Varre-Sai (RJ)";"5528";"5000";"-";"390";"-"
"Vassouras (RJ)";"95";"-";"18";"-";"-"
"Volta Redonda (RJ)";"17";"-";"-";"5";"-"
"Adamantina (SP)";"15734";"500";"11349";"200";"3000"
"Adolfo (SP)";"9958";"-";"6376";"143";"675"
"Aguaí (SP)";"27690";"430";"10500";"2500";"5200"
"Águas da Prata (SP)";"1692";"780";"-";"150";"500"
"Águas de Lindóia (SP)";"447";"350";"-";"50";"-"
"Águas de Santa Bárbara (SP)";"24046";"44";"3200";"3310";"8250"
"Águas de São Pedro (SP)";"...";"...";"...";"...";"..."
"Agudos (SP)";"14300";"-";"10300";"-";"1700"
"Alambari (SP)";"4891";"-";"200";"1500";"2200"
"Alfredo Marcondes (SP)";"552";"-";"-";"200";"-"
"Altair (SP)";"23682";"-";"19000";"700";"800"
"Altinópolis (SP)";"40318";"10000";"23112";"1600";"3000"
"Alto Alegre (SP)";"15267";"38";"13493";"-";"320"
"Alumínio (SP)";"170";"-";"-";"140";"-"
"Álvares Florence (SP)";"11493";"-";"7603";"267";"1800"
"Álvares Machado (SP)";"2105";"-";"800";"400";"60"
"Álvaro de Carvalho (SP)";"1132";"750";"-";"250";"100"
"Alvinlândia (SP)";"1909";"860";"-";"400";"200"
"Americana (SP)";"240";"-";"240";"-";"-"
"Américo Brasiliense (SP)";"8420";"-";"8000";"50";"-"
"Américo de Campos (SP)";"9007";"25";"7200";"250";"600"
"Amparo (SP)";"4967";"1036";"1100";"1500";"420"
"Analândia (SP)";"11368";"236";"8500";"570";"700"
"Andradina (SP)";"45634";"-";"43332";"300";"1500"
"Angatuba (SP)";"25789";"23";"-";"9400";"7500"
"Anhembi (SP)";"20187";"-";"13505";"825";"520"
"Anhumas (SP)";"11078";"108";"8700";"890";"615"
"Aparecida (SP)";"260";"-";"-";"-";"-"
"Aparecida d'Oeste (SP)";"2075";"-";"1320";"-";"-"
"Apiaí (SP)";"8379";"-";"-";"5100";"2000"
"Araçariguama (SP)";"171";"-";"-";"150";"-"
"Araçatuba (SP)";"44463";"37";"32000";"100";"7200"
"Araçoiaba da Serra (SP)";"4342";"4";"300";"1250";"1500"
"Aramina (SP)";"14911";"-";"12066";"32";"2174"
"Arandu (SP)";"12515";"1000";"50";"610";"6400"
"Arapeí (SP)";"113";"-";"59";"24";"-"
"Araraquara (SP)";"44412";"140";"39000";"700";"4000"
"Araras (SP)";"36935";"218";"32000";"200";"3000"
"Arco-Íris (SP)";"7638";"6";"1200";"200";"-"
"Arealva (SP)";"16502";"-";"12000";"-";"1050"
"Areias (SP)";"141";"-";"30";"55";"-"
"Areiópolis (SP)";"7177";"72";"7055";"50";"-"
"Ariranha (SP)";"8922";"-";"8600";"-";"73"
"Artur Nogueira (SP)";"8413";"-";"3700";"1740";"300"
"Arujá (SP)";"...";"...";"...";"...";"..."
"Aspásia (SP)";"2158";"-";"1000";"1";"-"
"Assis (SP)";"30185";"4";"11200";"8620";"9000"
"Atibaia (SP)";"2550";"1";"50";"800";"1300"
"Auriflama (SP)";"9372";"-";"8100";"200";"300"
"Avaí (SP)";"6561";"40";"1930";"10";"-"
"Avanhandava (SP)";"20628";"-";"19808";"220";"400"
"Avaré (SP)";"54108";"100";"12000";"7500";"13500"
"Bady Bassitt (SP)";"4832";"-";"3100";"600";"700"
"Balbinos (SP)";"5647";"16";"5236";"50";"-"
"Bálsamo (SP)";"9379";"40";"5800";"80";"300"
"Bananal (SP)";"369";"-";"60";"265";"-"
"Barão de Antonina (SP)";"2812";"-";"-";"900";"1400"
"Barbosa (SP)";"9564";"-";"9034";"120";"100"
"Bariri (SP)";"27288";"82";"21500";"108";"1450"
"Barra Bonita (SP)";"7870";"-";"7850";"20";"-"
"Barra do Chapéu (SP)";"850";"-";"15";"200";"200"
"Barra do Turvo (SP)";"333";"3";"6";"115";"-"
"Barretos (SP)";"105306";"-";"79145";"5140";"6031"
"Barrinha (SP)";"8833";"-";"8300";"50";"83"
"Barueri (SP)";"...";"...";"...";"...";"..."
"Bastos (SP)";"1475";"-";"1300";"100";"-"
"Batatais (SP)";"54105";"3000";"45200";"2000";"3800"
"Bauru (SP)";"4749";"-";"1800";"333";"300"
"Bebedouro (SP)";"48979";"-";"39900";"100";"2500"
"Bento de Abreu (SP)";"16073";"-";"15500";"50";"500"
"Bernardino de Campos (SP)";"15102";"50";"4700";"4100";"5000"
"Bertioga (SP)";"...";"...";"...";"...";"..."
"Bilac (SP)";"7929";"176";"6000";"-";"1013"
"Birigui (SP)";"34381";"30";"10855";"205";"12000"
"Biritiba Mirim (SP)";"80";"-";"-";"-";"-"
"Boa Esperança do Sul (SP)";"47348";"1";"35000";"150";"4000"
"Bocaina (SP)";"16121";"32";"14800";"30";"254"
"Bofete (SP)";"2169";"42";"50";"380";"155"
"Boituva (SP)";"7179";"35";"5700";"520";"875"
"Bom Jesus dos Perdões (SP)";"64";"-";"-";"40";"-"
"Bom Sucesso de Itararé (SP)";"227";"-";"-";"150";"-"
"Borá (SP)";"5803";"-";"4950";"-";"-"
"Boracéia (SP)";"7527";"40";"6400";"157";"921"
"Borborema (SP)";"34929";"27";"27800";"-";"1075"
"Borebi (SP)";"6009";"-";"3300";"11";"400"
"Botucatu (SP)";"42976";"460";"20460";"7372";"2405"
"Bragança Paulista (SP)";"9732";"300";"50";"1200";"2800"
"Braúna (SP)";"10240";"47";"8935";"30";"400"
"Brejo Alegre (SP)";"9190";"-";"3700";"70";"2800"
"Brodowski (SP)";"16448";"1100";"14394";"400";"350"
"Brotas (SP)";"38476";"518";"28000";"500";"2330"
"Buri (SP)";"76152";"-";"-";"16250";"42997"
"Buritama (SP)";"11842";"-";"8110";"170";"530"
"Buritizal (SP)";"13424";"458";"10209";"301";"2108"
"Cabrália Paulista (SP)";"2651";"70";"325";"-";"540"
"Cabreúva (SP)";"497";"13";"5";"150";"-"
"Caçapava (SP)";"2000";"-";"1800";"-";"80"
"Cachoeira Paulista (SP)";"324";"-";"90";"55";"-"
"Caconde (SP)";"9624";"8000";"122";"300";"800"
"Cafelândia (SP)";"41214";"220";"34118";"242";"2100"
"Caiabu (SP)";"6692";"-";"5950";"600";"-"
"Caieiras (SP)";"3";"2";"1";"-";"-"
"Caiuá (SP)";"2245";"-";"1500";"150";"-"
"Cajamar (SP)";"...";"...";"...";"...";"..."
"Cajati (SP)";"5843";"-";"3";"120";"120"
"Cajobi (SP)";"11533";"-";"8071";"69";"154"
"Cajuru (SP)";"28977";"2000";"23000";"100";"3500"
"Campina do Monte Alegre (SP)";"15339";"-";"-";"6500";"4500"
"Campinas (SP)";"3954";"450";"1296";"450";"800"
"Campo Limpo Paulista (SP)";"...";"...";"...";"...";"..."
"Campos do Jordão (SP)";"...";"...";"...";"...";"..."
"Campos Novos Paulista (SP)";"44230";"24";"8000";"8000";"15000"
"Cananéia (SP)";"608";"2";"5";"5";"-"
"Canas (SP)";"400";"-";"-";"-";"-"
"Cândido Mota (SP)";"69695";"20";"20700";"23285";"24500"
"Cândido Rodrigues (SP)";"4700";"-";"1750";"120";"140"
"Canitar (SP)";"4950";"-";"2600";"850";"1500"
"Capão Bonito (SP)";"57620";"-";"-";"13500";"29000"
"Capela do Alto (SP)";"3186";"-";"500";"950";"800"
"Capivari (SP)";"18910";"-";"18500";"150";"260"
"Caraguatatuba (SP)";"76";"-";"-";"-";"-"
"Carapicuíba (SP)";"...";"...";"...";"...";"..."
"Cardoso (SP)";"24788";"-";"15175";"913";"3900"
"Casa Branca (SP)";"64395";"160";"17800";"8950";"14800"
"Cássia dos Coqueiros (SP)";"7561";"2800";"3700";"150";"400"
"Castilho (SP)";"32400";"-";"30000";"400";"800"
"Catanduva (SP)";"17340";"-";"15423";"10";"650"
"Catiguá (SP)";"9182";"-";"8500";"200";"300"
"Cedral (SP)";"9772";"4";"7200";"80";"1307"
"Cerqueira César (SP)";"32400";"150";"6166";"6430";"12000"
"Cerquilho (SP)";"6100";"-";"5000";"300";"600"
"Cesário Lange (SP)";"17150";"-";"13400";"1200";"2160"
"Charqueada (SP)";"8673";"-";"8500";"160";"-"
"Clementina (SP)";"7891";"18";"7139";"5";"290"
"Colina (SP)";"30646";"-";"25120";"900";"1310"
"Colômbia (SP)";"55728";"6";"35520";"1505";"1838"
"Conchal (SP)";"14605";"-";"2245";"1050";"4000"
"Conchas (SP)";"4376";"-";"3130";"297";"280"
"Cordeirópolis (SP)";"7216";"36";"6000";"80";"850"
"Coroados (SP)";"15760";"12";"9200";"295";"3900"
"Coronel Macedo (SP)";"25826";"350";"-";"4500";"11000"
"Corumbataí (SP)";"5168";"36";"4400";"30";"350"
"Cosmópolis (SP)";"5331";"-";"4368";"500";"210"
"Cosmorama (SP)";"22561";"40";"17000";"150";"300"
"Cotia (SP)";"...";"...";"...";"...";"..."
"Cravinhos (SP)";"23760";"30";"21780";"250";"1000"
"Cristais Paulista (SP)";"14950";"7500";"5300";"1000";"700"
"Cruzália (SP)";"18689";"-";"3047";"7750";"7600"
"Cruzeiro (SP)";"284";"-";"20";"61";"-"
"Cubatão (SP)";"...";"...";"...";"...";"..."
"Cunha (SP)";"467";"3";"-";"300";"-"
"Descalvado (SP)";"33545";"420";"26500";"1200";"1100"
"Dirce Reis (SP)";"2016";"-";"1922";"30";"-"
"Divinolândia (SP)";"5455";"4500";"-";"100";"20"
"Dobrada (SP)";"10307";"-";"9500";"40";"210"
"Dois Córregos (SP)";"29955";"3000";"25500";"70";"1020"
"Dolcinópolis (SP)";"3325";"-";"2900";"5";"-"
"Dourado (SP)";"6102";"105";"4900";"600";"350"
"Dracena (SP)";"16520";"48";"13400";"10";"70"
"Duartina (SP)";"1807";"740";"-";"25";"30"
"Dumont (SP)";"10144";"-";"8615";"100";"300"
"Echaporã (SP)";"14314";"30";"3000";"1150";"3500"
"Eldorado (SP)";"6447";"-";"-";"75";"1"
"Elias Fausto (SP)";"8638";"-";"7000";"680";"550"
"Elisiário (SP)";"6273";"-";"6167";"-";"50"
"Embaúba (SP)";"6439";"-";"6000";"4";"92"
"Embu das Artes (SP)";"...";"...";"...";"...";"..."
"Embu-Guaçu (SP)";"...";"...";"...";"...";"..."
"Emilianópolis (SP)";"6591";"-";"4100";"200";"1050"
"Engenheiro Coelho (SP)";"5299";"-";"2050";"1180";"620"
"Espírito Santo do Pinhal (SP)";"10745";"7400";"1540";"600";"500"
"Espírito Santo do Turvo (SP)";"8896";"-";"3000";"350";"2500"
"Estrela d'Oeste (SP)";"11669";"11";"8670";"320";"120"
"Estrela do Norte (SP)";"6240";"-";"4900";"400";"700"
"Euclides da Cunha Paulista (SP)";"8312";"-";"4500";"1200";"600"
"Fartura (SP)";"11628";"2482";"1700";"1994";"5176"
"Fernandópolis (SP)";"19906";"5";"17300";"500";"120"
"Fernando Prestes (SP)";"12194";"-";"9000";"50";"100"
"Fernão (SP)";"1882";"181";"1";"300";"800"
"Ferraz de Vasconcelos (SP)";"...";"...";"...";"...";"..."
"Flora Rica (SP)";"5962";"-";"4200";"500";"600"
"Floreal (SP)";"9306";"-";"8350";"200";"250"
"Flórida Paulista (SP)";"19800";"100";"18100";"500";"300"
"Florínea (SP)";"22231";"-";"8876";"6600";"6400"
"Franca (SP)";"17959";"9480";"6300";"450";"1000"
"Francisco Morato (SP)";"19";"-";"-";"-";"-"
"Franco da Rocha (SP)";"...";"...";"...";"...";"..."
"Gabriel Monteiro (SP)";"4955";"139";"4346";"120";"110"
"Gália (SP)";"5603";"2800";"-";"650";"650"
"Garça (SP)";"12427";"8300";"-";"500";"900"
"Gastão Vidigal (SP)";"6402";"-";"5784";"200";"245"
"Gavião Peixoto (SP)";"11961";"6";"7600";"500";"1400"
"General Salgado (SP)";"16427";"-";"12800";"500";"933"
"Getulina (SP)";"19800";"53";"14000";"120";"300"
"Glicério (SP)";"20579";"23";"13219";"1090";"3000"
"Guaiçara (SP)";"8645";"1";"7042";"150";"400"
"Guaimbê (SP)";"5145";"85";"2300";"70";"212"
"Guaíra (SP)";"109301";"-";"63500";"13100";"27000"
"Guapiaçu (SP)";"19688";"-";"15664";"350";"1650"
"Guapiara (SP)";"9446";"-";"-";"2500";"4500"
"Guará (SP)";"27610";"35";"22159";"547";"4409"
"Guaraçaí (SP)";"30728";"-";"27000";"300";"106"
"Guaraci (SP)";"43547";"-";"37400";"1457";"1500"
"Guarani d'Oeste (SP)";"2067";"-";"1600";"300";"30"
"Guarantã (SP)";"17812";"196";"11500";"500";"300"
"Guararapes (SP)";"48117";"-";"38000";"-";"6000"
"Guararema (SP)";"401";"-";"30";"-";"-"
"Guaratinguetá (SP)";"5105";"-";"8";"230";"2600"
"Guareí (SP)";"6711";"3";"440";"2800";"2400"
"Guariba (SP)";"21771";"-";"17765";"190";"1600"
"Guarujá (SP)";"...";"...";"...";"...";"..."
"Guarulhos (SP)";"...";"...";"...";"...";"..."
"Guatapará (SP)";"26434";"-";"25391";"372";"460"
"Guzolândia (SP)";"5487";"-";"2900";"280";"950"
"Herculândia (SP)";"17390";"130";"10000";"250";"600"
"Holambra (SP)";"1787";"15";"270";"200";"730"
"Hortolândia (SP)";"...";"...";"...";"...";"..."
"Iacanga (SP)";"26403";"-";"23500";"100";"400"
"Iacri (SP)";"12815";"40";"3650";"1000";"-"
"Iaras (SP)";"18060";"-";"1860";"3350";"2100"
"Ibaté (SP)";"15524";"-";"14000";"150";"250"
"Ibirá (SP)";"15131";"-";"13200";"600";"300"
"Ibirarema (SP)";"34303";"3";"8000";"8500";"15000"
"Ibitinga (SP)";"43219";"24";"31000";"800";"2500"
"Ibiúna (SP)";"3023";"-";"-";"1200";"290"
"Icém (SP)";"12262";"-";"11200";"300";"160"
"Iepê (SP)";"53083";"-";"20000";"12040";"21000"
"Igaraçu do Tietê (SP)";"6666";"-";"6400";"10";"255"
"Igarapava (SP)";"23418";"106";"17950";"40";"4303"
"Igaratá (SP)";"1";"-";"-";"-";"-"
"Iguape (SP)";"3708";"-";"-";"10";"-"
"Ilhabela (SP)";"3";"-";"-";"-";"-"
"Ilha Solteira (SP)";"21736";"-";"20800";"60";"320"
"Indaiatuba (SP)";"4109";"125";"1800";"750";"850"
"Indiana (SP)";"1954";"-";"77";"120";"120"
"Indiaporã (SP)";"8460";"-";"6000";"300";"800"
"Inúbia Paulista (SP)";"2737";"30";"2400";"30";"200"
"Ipaussu (SP)";"18986";"6";"16840";"800";"1300"
"Iperó (SP)";"2060";"-";"900";"689";"115"
"Ipeúna (SP)";"5442";"-";"5200";"200";"7"
"Ipiguá (SP)";"6220";"-";"5100";"200";"180"
"Iporanga (SP)";"857";"4";"15";"120";"-"
"Ipuã (SP)";"37796";"-";"29389";"1135";"6537"
"Iracemápolis (SP)";"6677";"-";"6237";"16";"400"
"Irapuã (SP)";"15973";"-";"10500";"170";"300"
"Irapuru (SP)";"5308";"400";"4500";"130";"-"
"Itaberá (SP)";"89486";"5";"-";"15000";"41000"
"Itaí (SP)";"71665";"1200";"9500";"10300";"19600"
"Itajobi (SP)";"33775";"8";"26000";"100";"50"
"Itaju (SP)";"9683";"10";"6700";"30";"1200"
"Itanhaém (SP)";"2871";"-";"-";"-";"-"
"Itaoca (SP)";"191";"2";"25";"35";"-"
"Itapecerica da Serra (SP)";"...";"...";"...";"...";"..."
"Itapetininga (SP)";"63213";"-";"4800";"10100";"27500"
"Itapeva (SP)";"164177";"-";"2500";"29500";"82000"
"Itapevi (SP)";"...";"...";"...";"...";"..."
"Itapira (SP)";"7306";"970";"810";"1550";"3000"
"Itapirapuã Paulista (SP)";"228";"-";"12";"110";"-"
"Itápolis (SP)";"69781";"10";"49200";"2500";"5000"
"Itaporanga (SP)";"22247";"96";"-";"1300";"15200"
"Itapuí (SP)";"8424";"7";"8300";"20";"97"
"Itapura (SP)";"13951";"-";"10850";"903";"1520"
"Itaquaquecetuba (SP)";"...";"...";"...";"...";"..."
"Itararé (SP)";"42969";"-";"20";"7000";"22000"
"Itariri (SP)";"2895";"-";"-";"-";"-"
"Itatiba (SP)";"2878";"160";"90";"1877";"215"
"Itatinga (SP)";"14243";"20";"6100";"1920";"1350"
"Itirapina (SP)";"7660";"110";"6406";"380";"300"
"Itirapuã (SP)";"5256";"4000";"800";"200";"150"
"Itobi (SP)";"4958";"200";"500";"1745";"1200"
"Itu (SP)";"2118";"68";"1200";"400";"400"
"Itupeva (SP)";"2193";"4";"63";"1404";"50"
"Ituverava (SP)";"51984";"313";"40196";"1455";"8617"
"Jaborandi (SP)";"22905";"-";"18800";"660";"1395"
"Jaboticabal (SP)";"66138";"-";"57550";"300";"3500"
"Jacareí (SP)";"38";"-";"2";"2";"-"
"Jaci (SP)";"8983";"20";"6518";"100";"1300"
"Jacupiranga (SP)";"3362";"-";"1";"40";"-"
"Jaguariúna (SP)";"3475";"-";"2630";"200";"510"
"Jales (SP)";"7699";"6";"5200";"120";"100"
"Jambeiro (SP)";"5";"-";"-";"-";"-"
"Jandira (SP)";"...";"...";"...";"...";"..."
"Jardinópolis (SP)";"41069";"38";"36000";"650";"2000"
"Jarinu (SP)";"689";"-";"20";"400";"-"
"Jaú (SP)";"45206";"580";"39700";"240";"4200"
"Jeriquara (SP)";"11016";"4800";"5300";"150";"600"
"Joanópolis (SP)";"370";"15";"-";"150";"-"
"João Ramalho (SP)";"22192";"-";"17350";"120";"2000"
"José Bonifácio (SP)";"49462";"-";"36000";"900";"5000"
"Júlio Mesquita (SP)";"1958";"20";"130";"120";"-"
"Jumirim (SP)";"650";"-";"440";"41";"144"
"Jundiaí (SP)";"4951";"40";"-";"400";"-"
"Junqueirópolis (SP)";"30525";"8";"23900";"100";"530"
"Juquiá (SP)";"3585";"8";"-";"10";"-"
"Juquitiba (SP)";"...";"...";"...";"...";"..."
"Lagoinha (SP)";"203";"-";"-";"192";"-"
"Laranjal Paulista (SP)";"11786";"15";"7500";"4100";"150"
"Lavínia (SP)";"25127";"-";"24235";"100";"256"
"Lavrinhas (SP)";"59";"-";"-";"22";"-"
"Leme (SP)";"29548";"360";"15000";"2200";"6000"
"Lençóis Paulista (SP)";"38708";"520";"33520";"100";"3500"
"Limeira (SP)";"21871";"34";"12000";"1300";"4000"
"Lindóia (SP)";"209";"140";"17";"30";"-"
"Lins (SP)";"25838";"14";"24000";"250";"726"
"Lorena (SP)";"435";"-";"-";"180";"40"
"Lourdes (SP)";"5245";"-";"3558";"121";"1050"
"Louveira (SP)";"350";"-";"15";"30";"-"
"Lucélia (SP)";"8631";"78";"7900";"80";"300"
"Lucianópolis (SP)";"6161";"80";"350";"116";"1250"
"Luís Antônio (SP)";"39962";"50";"35000";"600";"1500"
"Luiziânia (SP)";"9988";"35";"6392";"50";"180"
"Lupércio (SP)";"3433";"1000";"-";"150";"1200"
"Lutécia (SP)";"18470";"-";"8200";"3400";"3500"
"Macatuba (SP)";"15800";"172";"14106";"60";"1400"
"Macaubal (SP)";"9549";"-";"7000";"230";"300"
"Macedônia (SP)";"8135";"60";"6300";"150";"350"
"Magda (SP)";"15386";"-";"12600";"270";"2000"
"Mairinque (SP)";"732";"-";"-";"540";"90"
"Mairiporã (SP)";"...";"...";"...";"...";"..."
"Manduri (SP)";"12364";"1632";"4000";"2800";"2210"
"Marabá Paulista (SP)";"18290";"-";"14000";"500";"1200"
"Maracaí (SP)";"69349";"-";"15382";"26600";"26935"
"Marapoama (SP)";"8154";"-";"6196";"100";"200"
"Mariápolis (SP)";"1758";"110";"810";"100";"50"
"Marília (SP)";"13914";"800";"1050";"3000";"1400"
"Marinópolis (SP)";"1298";"-";"350";"210";"180"
"Martinópolis (SP)";"55296";"-";"37000";"4800";"4300"
"Matão (SP)";"30220";"50";"20000";"450";"3300"
"Mauá (SP)";"...";"...";"...";"...";"..."
"Mendonça (SP)";"9627";"-";"8700";"300";"150"
"Meridiano (SP)";"10106";"-";"7500";"1000";"500"
"Mesópolis (SP)";"6868";"-";"6220";"30";"130"
"Miguelópolis (SP)";"67831";"-";"39173";"5080";"16694"
"Mineiros do Tietê (SP)";"9820";"102";"8400";"10";"1050"
"Miracatu (SP)";"2608";"-";"-";"-";"-"
"Mira Estrela (SP)";"1829";"-";"748";"150";"350"
"Mirandópolis (SP)";"34001";"17";"30000";"550";"1100"
"Mirante do Paranapanema (SP)";"24965";"-";"20000";"1750";"2000"
"Mirassol (SP)";"12715";"-";"8000";"550";"938"
"Mirassolândia (SP)";"6380";"-";"3650";"100";"500"
"Mococa (SP)";"39440";"2500";"19000";"3000";"6000"
"Mogi das Cruzes (SP)";"801";"-";"-";"-";"30"
"Mogi Guaçu (SP)";"31579";"410";"7728";"2900";"3800"
"Mogi Mirim (SP)";"22413";"-";"5042";"1700";"3800"
"Mombuca (SP)";"7180";"-";"7000";"45";"120"
"Monções (SP)";"4328";"-";"3253";"-";"680"
"Mongaguá (SP)";"11";"-";"-";"-";"-"
"Monte Alegre do Sul (SP)";"662";"420";"75";"140";"-"
"Monte Alto (SP)";"15778";"11";"8500";"400";"600"
"Monte Aprazível (SP)";"21367";"6";"16000";"175";"1050"
"Monte Azul Paulista (SP)";"18753";"123";"13500";"50";"1000"
"Monte Castelo (SP)";"9412";"-";"8100";"-";"34"
"Monteiro Lobato (SP)";"...";"...";"...";"...";"..."
"Monte Mor (SP)";"7816";"16";"7000";"200";"300"
"Morro Agudo (SP)";"103970";"-";"86986";"795";"14870"
"Morungaba (SP)";"1367";"80";"3";"995";"150"
"Motuca (SP)";"13535";"-";"11505";"50";"720"
"Murutinga do Sul (SP)";"4268";"-";"4000";"100";"-"
